,star_name,distance,mass,radius,gravity
1,SDSS J000013.54+255418.6 [de],87.2,2.6425909242576e-05,1.3030706971339201e-06,155942.48102375297
2,2MASS J00040288-6410358,31,3.8272006489248004e-05,8.5656395475936e-07,360894.95183960226
3,2MASS J00242463-0158201,28.6,1.0934858996928e-05,1.1846097246672002e-06,188690.4020387411
4,2MASS J00274197+0503417,57,3.644952998976e-05,8.5656395475936e-07,360894.95183960226
5,2MASSW J0030300-145033,40,2.6425909242576e-05,1.3030706971339201e-06,155942.48102375297
6,2MASS J00332386-1521309 [de],34,4.7384388986688006e-05,8.9301348474912e-07,332035.38051381975
7,2MASS J00345157+0523050,96,4.7384388986688006e-05,8.9301348474912e-07,332035.38051381975
8,2MASS 0036+1821,70,1.822476499488e-05,1.47620596458528e-06,121508.45124427392
9,2MASSW J0045214+163445,51,1.822476499488e-05,1.4670935820878402e-06,123022.56064406174
10,WISEP J004701.06+680352.1 [fr],70,4.2828197737968e-05,8.839011022516801e-07,338916.75995905255
11,2MASS J00501994-3322402 [de],35,1.822476499488e-05,1.47620596458528e-06,121508.45124427392
12,2MASS J00584253-0651239 [de],53,2.4603432743088e-05,1.28484593213904e-06,160397.75637315656
13,2MASSI J0103320+193536,12.578,3.0070862241552004e-05,9.021258672465601e-07,325361.4727532625
14,SDSSp J010752.33+004156.1 [de],24,7.1076583480032e-05,9.841373097235202e-07,273394.0152996163
15,2MASSI J0117474-340325 [de],16.2,7.289905997952e-05,1.1572725771748802e-06,197710.19867659028
16,2MASS J01415823-4633574 [de],45,4.4650674237456e-05,8.839011022516801e-07,338916.75995905255
17,SDSS J015141.69+124429.6,47,8.0188965977472e-05,1.0479239872056001e-06,241124.21886236107
18,SDSS J020742.48+000056.2 [de],59,2.0958479744112002e-05,1.51265549457504e-06,115723.17442497915
19,2MASS J02103857-3015313,80,4.100572123848e-05,8.656763372568e-07,353337.15174013586
20,2MASS J02340093-6442068,98,1.6402288495392e-05,1.1846097246672002e-06,188690.4020387411
21,2MASS J02411151-0326587 [de],27.0,4.9206865486176e-05,8.9301348474912e-07,332035.38051381975
22,2MASS J02431371−2453298,20.9,6.6520392231312e-05,1.3030706971339201e-06,155942.48102375297
23,LP 771-21,88,6.7431630481056e-05,9.568001622312e-07,289239.70924759406
24,Teegarden's star,48,5.0118103735920004e-05,3.4444805840323203e-06,22317.87879996868
25,2MASS J02535980+3206373,29.8,9.294630147388801e-05,1.1572725771748802e-06,197710.19867659028
26,WISE J0254+0223,18.6,1.822476499488e-05,1.2028344896620801e-06,183015.8284237101
27,DEN 0255-4700,85,2.7337147492320003e-05,8.656763372568e-07,353337.15174013586
28,2MASS J03185403-3421292 [de],34,7.289905997952e-05,9.932496922209603e-07,268400.6223764603
29,2MASS J03205965+1854233,29.5,9.112382497439999e-05,1.1481601946774401e-06,200860.90919971815
30,2MASS J03231002-4631237,82,3.5538291740016e-05,1.7951393519956801e-06,82168.25464337462
31,SDSS J032553.17+042540.1,42,4.3739435987712e-05,8.839011022516801e-07,338916.75995905255
32,2MASS J03264225-2102057 [de],69,2.0047241494368e-05,1.6220040845443202e-06,100645.99780503489
33,2MASS J03284265+2302051 [de],44,5.8319247983616005e-05,9.112382497440001e-07,318886.7794454725
34,2MASS J03341218-4953322,64,9.476877797337601e-07,6.5609153981568e-05,61.513653442413684
35,LP 944-20,73,5.8319247983616005e-05,9.112382497440001e-07,318886.7794454725
36,2MASP J0345432+254023,40,1.9136003244624002e-05,1.25750878464672e-06,167447.37420997303
37,Teide 1,41.62,4.2828197737968e-05,8.839011022516801e-07,338916.75995905255
38,2MASS J03510004-0052452,34.6,5.558553323438401e-05,9.2035063224144e-07,312603.45009849285
39,2MASS J03552337+1133437,39,3.4627053490272e-05,1.37596975711344e-06,139856.48850729025
40,2MASS J04151954−0935066,65,5.1029341985664006e-05,9.021258672465601e-07,325361.4727532625
41,2MASS J04285096-2253227 [de],51,6.1052962732848e-05,9.2035063224144e-07,312603.45009849285
42,2MASS J04351612-1606574,60,6.834286873080001e-05,9.568001622312e-07,289239.70924759406
43,2MASS J04362788-4114465,13.4,2.3692194493344003e-05,8.9301348474912e-07,332035.38051381975
44,2MASS J04390101-2353083 [de],29.6,3.7360768239503996e-05,8.5656395475936e-07,360894.95183960226
45,2MASS J04433764+0002040,25.8,3.3715815240528e-05,8.5656395475936e-07,360894.95183960226
46,2MASS J04455387-3048204 [de],49,3.9183244738992006e-05,8.5656395475936e-07,360894.95183960226
47,2MASS J04510093-3402150 [de],55,6.4697915731824e-05,9.385753972363202e-07,300581.37378214014
48,2MASS J05002100+0330501 [de],60,1.83158888198544e-06,6.196420098259201e-05,68.96340385931498
49,2MASS J05012406-0010452 [de],16.1,4.0094482988736e-05,8.5656395475936e-07,360894.95183960226
50,2MASS J05160945-0445499 [de],35,4.3739435987712e-05,9.021258672465601e-07,325361.4727532625
51,2MASS J0523−1403,43,4.1916959488224004e-05,8.747887197542401e-07,346014.30061357695
52,SDSS J053951.99-005902.0,55,5.649677148412801e-05,9.112382497440001e-07,318886.7794454725
53,LSR 0602+3910 [de],77,4.5561912487199996e-05,8.9301348474912e-07,332035.38051381975
54,2MASS J06085283-2753583,23.53,3.8272006489248004e-05,8.5656395475936e-07,360894.95183960226
55,2MASS J06244595-4521548 [de],43,2.9159623991808002e-05,8.656763372568e-07,353337.15174013586
56,2MASS J06411840-4322329 [de],27.6,4.0094482988736e-05,8.5656395475936e-07,360894.95183960226
57,DENIS-P J0652197-253450 [de],50,4.6473150736944005e-05,8.9301348474912e-07,332035.38051381975
58,2MASS J07075327-4900503,20.0,2.4603432743088e-05,1.28484593213904e-06,160397.75637315656
59,UGPS J072227.51-054031.2,17.4,4.4650674237456e-05,8.839011022516801e-07,338916.75995905255
60,2MASSI J0727182+171001 [de],59,3.8272006489248004e-05,8.5656395475936e-07,360894.95183960226
61,2MASS J07290002-3954043 [de],46,3.9183244738992006e-05,9.294630147388801e-07,306504.01715251105
62,SDSS J074201.41+205520.5 [de],55,3.644952998976e-05,9.2035063224144e-07,312603.45009849285
63,DENIS-P J0751164-253043 [de],60,5.8319247983616005e-05,9.112382497440001e-07,318886.7794454725
64,2MASS J07522390+1612157,53,8.201144247696e-06,1.1299354296825602e-06,207392.54646557785
65,DENIS J081730.0-615520,34.4,3.0070862241552004e-05,8.747887197542401e-07,346014.30061357695
66,2MASS J08251968+2115521 [de],13.15,2.7337147492320003e-05,2.0047241494368004e-06,65885.69823253564
67,SDSSp J083008.12+482847.4 [de],6.516,3.3715815240528e-05,1.366857374616e-06,141727.45753132112
68,LHS 2021,6.516,5.8319247983616005e-05,9.112382497440001e-07,318886.7794454725
69,SDSS J083048.80+012831.1 [de],49,1.5491050245648003e-05,1.5582174070622399e-06,109054.67646300487
70,2MASSI J0835425-081923 [de],63,3.8272006489248004e-05,8.5656395475936e-07,360894.95183960226
71,2MASSI J0847287-153237 [de],18.2,3.7360768239503996e-05,8.5656395475936e-07,360894.95183960226
72,2MASS J08533619-0329321,31,4.2828197737968e-05,8.9301348474912e-07,332035.38051381975
